token_type	n_tokens	n_hit	mean_left	mean_right	net_score	frac_hit	frac_left	frac_right	frac_tie	frac_unknown	maj_side
aloly	3	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
alom	6	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
alor	4	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
alory	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
alos	2	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aloy	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
alpchdar	1	1	0.000000	2.000000	-2.000000	1.000000	0.000000	1.000000	0.000000	0.000000	right
alpchdy	1	1	0.000000	2.000000	-2.000000	1.000000	0.000000	1.000000	0.000000	0.000000	right
als	2	2	2.000000	0.000000	2.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
alshdr	1	1	4.000000	0.000000	4.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
alshedy	1	1	10.000000	0.000000	10.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
alshey	3	3	10.000000	0.000000	10.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
alshy	2	2	4.000000	0.000000	4.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
alsy	1	1	2.000000	0.000000	2.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
alteol	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aly	27	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
alys	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
am	78	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
amam	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
amchd	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
amchy	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
amd	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
amg	2	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
amod	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
amom	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
amy	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
an	5	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aol	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aporair	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
apy	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
ar	297	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
araiin	7	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arair	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arairaly	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arakaiin	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aral	15	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aralary	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arald	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aralos	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arals	1	1	2.000000	0.000000	2.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
araly	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aram	12	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arar	5	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
araral	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
araram	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
ararchodaiin	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
