idx	token	length	freq	H1_local_bits	n_rules	rule_ids	family_signature	best_pmi_partner
4372	chotar	6	10	11.535664	0			
4373	chain	5	12	11.272630	0			
4374	dal	3	212	7.129672	0			
4375	shor	4	66	8.813198	0			
4376	chetar	6	5	12.535664	1	chargram:che:left	chargram:che:left	
4377	chotais	7	1	14.857592	0			
4378	dar	3	261	6.829686	0			
4379	cthaiin	7	6	12.272630	0			
4380	pcho	4	1	14.857592	0			
4381	chy	3	98	8.242882	0			
4382	kshaiin	7	1	14.857592	0			
4383	shotaiin	8	2	13.857592	0			
4384	cham	4	17	10.770129	0			
4385	shan	4	3	13.272630	0			
4386	yshol	5	2	13.857592	0			
4387	chees	5	29	9.999611	1	chargram:che:left	chargram:che:left	
4388	cthol	5	40	9.535664	0			
4389	shor	4	66	8.813198	0			
4390	shol	4	135	7.780777	0			
4391	ety	3	6	12.272630	0			
4392	chary	5	4	12.857592	0			
4393	qotchor	7	6	12.272630	0			
4394	otchol	6	21	10.465275	0			
4395	ctho	4	10	11.535664	0			
4396	kchodan	7	1	14.857592	0			
4397	chkchory	8	1	14.857592	0			
4398	shol	4	135	7.780777	0			
4399	dain	4	151	7.619188	0			
4400	chy	3	98	8.242882	0			
4401	daiidy	6	4	12.857592	0			
4402	dain	4	151	7.619188	0			
4403	dal	3	212	7.129672	0			
4404	cheam	5	4	12.857592	1	chargram:che:left	chargram:che:left	
4405	pydaiin	7	2	13.857592	0			
4406	sheor	5	44	9.398161	0			
4407	shaiin	6	15	10.950702	0			
4408	tsh	3	1	14.857592	0			
4409	olcha	5	1	14.857592	0			
4410	sholy	5	4	12.857592	0			
4411	shotol	6	1	14.857592	0			
4412	shol	4	135	7.780777	0			
4413	chety	5	20	10.535664	1	chargram:che:left	chargram:che:left	
4414	daiin	5	621	5.579143	0			
4415	chokchy	7	12	11.272630	0			
4416	chkaiin	7	11	11.398161	0			
4417	qody	4	13	11.157153	0			
4418	cthochy	7	1	14.857592	0			
4419	otaiin	6	125	7.891808	0			
4420	shy	3	72	8.687667	0			
4421	kshes	5	1	14.857592	0			
4422	chor	4	140	7.728309	0			
4423	ain	3	69	8.749068	0			
4424	otchoty	7	1	14.857592	0			
4425	daiin	5	621	5.579143	0			
4426	chot	4	4	12.857592	0			
4427	sho	3	84	8.465275	0			
4428	ckhhy	5	4	12.857592	0			
4429	cty	3	2	13.857592	0			
4430	s	1	168	7.465275	0			
4431	os	2	23	10.334030	0			
4432	shol	4	135	7.780777	0			
4433	chol	4	263	6.818673	0			
4434	shoky	5	7	12.050237	0			
4435	okol	4	65	8.835224	1	chargram:ok:left	chargram:ok:left	
4436	sho	3	84	8.465275	0			
4437	chol	4	263	6.818673	0			
4438	chol	4	263	6.818673	0			
4439	chal	4	38	9.609665	0			
4440	shol	4	135	7.780777	0			
4441	chol	4	263	6.818673	0			
4442	chol	4	263	6.818673	0			
4443	shol	4	135	7.780777	0			
4444	ctoiin	6	1	14.857592	0			
4445	sos	3	7	12.050237	0			
4446	odan	4	2	13.857592	0			
4447	chol	4	263	6.818673	0			
4448	chor	4	140	7.728309	0			
4449	dain	4	151	7.619188	0			
4450	dain	4	151	7.619188	0			
4451	otol	4	64	8.857592	0			
4452	daiin	5	621	5.579143	0			
4453	dl	2	17	10.770129	0			
4454	chcthy	6	66	8.813198	0			
4455	otoy	4	3	13.272630	0			
4456	ykchy	5	19	10.609665	0			
4457	okol	4	65	8.835224	1	chargram:ok:left	chargram:ok:left	
4458	dd	2	1	14.857592	0			
4459	okol	4	65	8.835224	1	chargram:ok:left	chargram:ok:left	
4460	chetaiin	8	1	14.857592	1	chargram:che:left	chargram:che:left	
4461	saiin	5	106	8.129672	0			
4462	cthar	5	19	10.609665	0			
4463	dam	3	82	8.500040	0			
4464	chekeesshy	10	1	14.857592	1	chargram:che:left	chargram:che:left	
4465	sho	3	84	8.465275	0			
4466	cpheo	5	2	13.857592	0			
4467	rchy	4	4	12.857592	0			
4468	ctchy	5	1	14.857592	0			
4469	tcheen	6	1	14.857592	0			
4470	d	1	35	9.728309	0			
4471	shey	4	226	7.037413	0			
