tok_id	token	prefix	stem	suffix
19193	ckhs		ckhs	
19194	saiin		saiin	
19195	ctheo		ctheo	
19196	s		s	
19197	ar		ar	
19198	al		al	
19199	aral		aral	
19200	oys		oys	
19201	ol		ol	
19202	cheo		cheo	
19203	ro		ro	
19204	daiin		daiin	
19205	shese		shese	
19206	shodaiin		shodaiin	
19207	sheos		sheos	
19208	qokoor		qokoor	
19209	s		s	
19210	oin		oin	
19211	sam		sam	
19212	shy		shy	
19213	tchody		tchody	
19214	okeeom		okeeom	
19215	dshcheal		dshcheal	
19216	sheol		sheol	
19217	qodar		qodar	
19218	ykeeol		ykeeol	
19219	dar		dar	
19220	chody		chody	
19221	y		y	
19222	oteey		oteey	
19223	chodar		chodar	
19224	choy		choy	
19225	cheor		cheor	
19226	cheokeey		cheokeey	
19227	octheody		octheody	
19228	cthchy		cthchy	
19229	yteey		yteey	
19230	or		or	
19231	cheeytey		cheeytey	
19232	olcheey		olcheey	
19233	cthey		cthey	
19234	qoky		qoky	
19235	olcheey		olcheey	
19236	she		she	
19237	qokeas		qokeas	
19238	yteody		yteody	
19239	etodaithey		etodaithey	
19240	cheol		cheol	
19241	chol		chol	
19242	okeam		okeam	
19243	s		s	
19244	or		or	
19245	ariin		ariin	
19246	aiin		aiin	
19247	oeey		oeey	
19248	keeos		keeos	
19249	aiiin		aiiin	
19250	kodshol		kodshol	
19251	otolsheeos		otolsheeos	
19252	octhodaly		octhodaly	
19253	opalefom		opalefom	
19254	oepchksheey		oepchksheey	
19255	qotodain		qotodain	
19256	s		s	
19257	oar		oar	
19258	ofchoshy		ofchoshy	
19259	cthoshol		cthoshol	
19260	schodchy		schodchy	
19261	qotchd		qotchd	
19262	otol		otol	
19263	ykchdg		ykchdg	
19264	chodain		chodain	
19265	tor		tor	
19266	otor		otor	
19267	s		s	
19268	cho		cho	
19269	s		s	
19270	chol		chol	
19271	sheoees		sheoees	
19272	shor		shor	
19273	shol		shol	
19274	ody		ody	
19275	cheodaiin		cheodaiin	
19276	s		s	
19277	lor		lor	
19278	sheeody		sheeody	
19279	chodaiin		chodaiin	
19280	sodar		sodar	
19281	shodam		shodam	
19282	okcheody		okcheody	
19283	ctho		ctho	
19284	ckhol		ckhol	
19285	ychor		ychor	
19286	chey		chey	
19287	keol		keol	
19288	cheol		cheol	
19289	ckhody		ckhody	
19290	okeol		okeol	
19291	oteol		oteol	
19292	sodal		sodal	
19293	sheo		sheo	
19294	al		al	
19295	sal		sal	
19296	qokor		qokor	
19297	shey		shey	
19298	okcheor		okcheor	
19299	sheedom		sheedom	
19300	shodaiin		shodaiin	
19301	qotchy		qotchy	
19302	kchol		kchol	
19303	s		s	
19304	ychey		ychey	
19305	ckhos		ckhos	
19306	okcheod		okcheod	
19307	chs		chs	
19308	ochol		ochol	
19309	shodal		shodal	
19310	dol		dol	
19311	cheodam		cheodam	
19312	choshy		choshy	
19313	qokor		qokor	
19314	chckhs		chckhs	
19315	tcheo		tcheo	
19316	l		l	
19317	cho		cho	
19318	lch		lch	
19319	cthody		cthody	
19320	olkees		olkees	
19321	shodaiin		shodaiin	
19322	shody		shody	
19323	tchor		tchor	
19324	shol		shol	
19325	s		s	
19326	sheoky		sheoky	
19327	ychockhy		ychockhy	
19328	cthol		cthol	
19329	osos		osos	
19330	dol		dol	
19331	shol		shol	
19332	daiin		daiin	
19333	shcthy		shcthy	
19334	kchor		kchor	
19335	cthy		cthy	
19336	chokal		chokal	
19337	daiin		daiin	
19338	oain		oain	
19339	okor		okor	
19340	shody		shody	
19341	teols		teols	
19342	ychocthy		ychocthy	
19343	chotey		chotey	
19344	teeys		teeys	
19345	ysaiin		ysaiin	
19346	chotar		chotar	
19347	shody		shody	
19348	ocheodaiin		ocheodaiin	
19349	tchos		tchos	
19350	sor		sor	
19351	qokor		qokor	
19352	cheo		cheo	
19353	los		los	
19354	ckheody		ckheody	
19355	ychor		ychor	
19356	odol		odol	
19357	cho		cho	
19358	daiin		daiin	
19359	s		s	
19360	dain		dain	
19361	ckcho		ckcho	
19362	ctho		ctho	
19363	cthosm		cthosm	
19364	shodaiin		shodaiin	
19365	qokcho		qokcho	
19366	cthol		cthol	
19367	ol		ol	
19368	chol		chol	
19369	cthol		cthol	
19370	olchod		olchod	
19371	otchdal		otchdal	
19372	or		or	
19373	shodaiin		shodaiin	
19374	dar		dar	
19375	cthog		cthog	
19376	dair		dair	
19377	okol		okol	
19378	ykchy		ykchy	
19379	dar		dar	
19380	chodaiindy		chodaiindy	
19381	dar		dar	
19382	sheqokam		sheqokam	
19383	shodain		shodain	
