position	mean_H	sd_H
oto	Biological	0.284148
oto	Unassigned	0.092659
yche	Herbal	-0.877134
yche	Pharmaceutical	-0.877134
yche	Recipes	-0.877134
yche	Astronomical	0.092659
yche	Biological	-0.737426
yche	Unassigned	-0.877134
so	Herbal	0.092659
so	Pharmaceutical	0.092659
so	Recipes	0.092659
so	Astronomical	0.092659
so	Biological	0.092659
so	Unassigned	0.092659
dar	Herbal	0.092659
dar	Pharmaceutical	0.092659
dar	Recipes	0.196618
dar	Astronomical	0.092659
dar	Biological	0.092659
dar	Unassigned	0.092659
ckh	Herbal	-0.909268
ckh	Pharmaceutical	-0.421648
ckh	Recipes	-0.421648
ckh	Astronomical	0.042686
ckh	Biological	-0.274677
ckh	Unassigned	-0.909268
och	Herbal	-0.506458
och	Pharmaceutical	0.092659
och	Recipes	0.030600
och	Astronomical	0.092659
och	Biological	-0.506458
och	Unassigned	0.092659
e	Herbal	0.092659
e	Pharmaceutical	0.092659
e	Recipes	0.092659
e	Astronomical	0.092659
e	Biological	0.092659
e	Unassigned	0.092659
kee	Herbal	0.092659
kee	Pharmaceutical	0.076161
kee	Recipes	-0.006855
kee	Astronomical	0.092659
kee	Biological	0.092659
kee	Unassigned	0.092659
olc	Herbal	0.860787
olc	Pharmaceutical	0.860787
olc	Recipes	0.860787
olc	Astronomical	0.572009
olc	Biological	0.860787
olc	Unassigned	0.092659
lo	Herbal	0.092659
lo	Pharmaceutical	0.092659
lo	Recipes	0.092659
lo	Astronomical	0.092659
lo	Biological	0.092659
lo	Unassigned	0.092659
al	Herbal	0.092659
al	Pharmaceutical	0.092659
al	Recipes	-0.011576
al	Astronomical	-0.011576
al	Biological	0.092659
al	Unassigned	0.092659
oe	Herbal	0.092659
oe	Pharmaceutical	0.092659
oe	Recipes	0.092659
oe	Astronomical	0.092659
oe	Biological	0.092659
oe	Unassigned	0.092659
fch	Herbal	-0.710802
fch	Pharmaceutical	-0.850511
fch	Recipes	-0.710802
fch	Astronomical	0.092659
fch	Biological	-0.710802
fch	Unassigned	0.092659
shk	Herbal	0.092659
shk	Pharmaceutical	0.092659
shk	Recipes	0.092659
shk	Astronomical	0.092659
shk	Biological	0.092659
shk	Unassigned	0.092659
chok	Herbal	-0.180601
chok	Pharmaceutical	-0.192758
chok	Recipes	-0.225634
chok	Astronomical	-0.180601
chok	Biological	-0.225634
chok	Unassigned	0.092659
okal	Herbal	0.097103
okal	Pharmaceutical	0.092659
okal	Recipes	-0.014203
okal	Astronomical	0.097103
okal	Biological	0.097103
okal	Unassigned	0.092659
opch	Herbal	0.383144
opch	Pharmaceutical	0.791235
opch	Recipes	0.791235
opch	Astronomical	0.693240
opch	Biological	0.791235
opch	Unassigned	0.092659
oted	Herbal	0.092659
oted	Pharmaceutical	0.092659
oted	Recipes	-0.310718
oted	Astronomical	-0.427658
oted	Biological	-0.427658
oted	Unassigned	0.092659
qopch	Herbal	1.053143
qopch	Pharmaceutical	1.053143
qopch	Recipes	1.053143
qopch	Astronomical	0.955147
qopch	Biological	1.053143
qopch	Unassigned	0.092659
otal	Herbal	0.097103
otal	Pharmaceutical	0.097103
otal	Recipes	0.092659
otal	Astronomical	0.092659
otal	Biological	0.097103
otal	Unassigned	0.092659
ksh	Herbal	0.092659
ksh	Pharmaceutical	0.190831
ksh	Recipes	0.190831
ksh	Astronomical	0.092659
ksh	Biological	0.092659
ksh	Unassigned	0.092659
ks	Herbal	0.092659
ks	Pharmaceutical	0.092659
ks	Recipes	0.092659
ks	Astronomical	0.092659
ks	Biological	0.092659
ks	Unassigned	0.092659
do	Herbal	0.092659
do	Pharmaceutical	0.092659
do	Recipes	0.092659
do	Astronomical	0.092659
do	Biological	0.092659
do	Unassigned	0.092659
opche	Herbal	-0.407784
opche	Pharmaceutical	0.129273
opche	Recipes	0.351910
opche	Astronomical	0.092659
opche	Biological	-0.547493
opche	Unassigned	-0.547493
dch	Herbal	-0.747996
dch	Pharmaceutical	-0.747996
dch	Recipes	0.089002
dch	Astronomical	0.122498
dch	Biological	-0.747996
dch	Unassigned	-0.025668
ar	Herbal	0.092659
ar	Pharmaceutical	0.092659
ar	Recipes	0.092659
ar	Astronomical	0.092659
ar	Biological	0.092659
ar	Unassigned	0.092659
r	Herbal	0.092659
r	Pharmaceutical	0.092659
r	Recipes	0.092659
r	Astronomical	0.092659
r	Biological	0.092659
r	Unassigned	0.092659
fc	Herbal	-0.097874
fc	Pharmaceutical	0.092659
fc	Recipes	0.092659
fc	Astronomical	0.092659
fc	Biological	-0.007726
fc	Unassigned	0.092659
oee	Herbal	0.092659
oee	Pharmaceutical	0.092659
oee	Recipes	0.224326
oee	Astronomical	0.092659
oee	Biological	0.092659
oee	Unassigned	0.092659
sha	Herbal	0.196618
sha	Pharmaceutical	0.092659
sha	Recipes	0.092659
sha	Astronomical	0.092659
sha	Biological	0.092659
sha	Unassigned	0.092659
pch	Herbal	-0.380953
pch	Pharmaceutical	-0.299858
pch	Recipes	-0.299858
pch	Astronomical	0.092659
pch	Biological	-0.045986
pch	Unassigned	-0.976624
otche	Herbal	-0.544950
otche	Pharmaceutical	0.092659
otche	Recipes	0.354451
otche	Astronomical	0.092659
otche	Biological	0.092659
otche	Unassigned	0.092659
kch	Herbal	-0.220695
kch	Pharmaceutical	-0.220695
