kind	pattern	pred_side	base_weight	allow_sections	deny_sections	w_Herbal	w_Pharm	w_Recipes	w_Astron	w_Biolog	w_Unasg	meta	examples
suffix	t	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	chot,cht,qot,chct,t,shct,yt,ot
pair	ok|	right	36.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.128494, ""stdev_axis1"": 0.466784, ""support"": 36}"	okal,oks,oko,okee,okol,okch
pair	|che	left	24.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.334527, ""stdev_axis1"": 0.382713, ""support"": 24}"	kche,dche,yche,opche,otche,ytche,olche,fche
pair	yk|	left	24.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.169131, ""stdev_axis1"": 0.3216, ""support"": 24}"	yka,ykch,ykc,yke,ykee,yk
pair	|c	right	24.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.133797, ""stdev_axis1"": 0.098875, ""support"": 24}"	sc,ykc,olc,fc,dc,tc,ytc,lc
pair	qok|	left	18.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.602917, ""stdev_axis1"": 0.29777, ""support"": 18}"	qokee,qok,qoke
pair	olc|	right	18.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.46068, ""stdev_axis1"": 0.373574, ""support"": 18}"	olc,olch,olche
pair	ytc|	right	18.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.41412, ""stdev_axis1"": 0.433524, ""support"": 18}"	ytch,ytche,ytc
pair	|tch	right	18.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.325769, ""stdev_axis1"": 0.341035, ""support"": 18}"	ytch,otch,tch,qotch
pair	c|h	left	18.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.324235, ""stdev_axis1"": 0.418586, ""support"": 18}"	ckh,cph,chcth,cth,chockh
pair	c|k	left	18.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.125848, ""stdev_axis1"": 0.10857, ""support"": 18}"	chek,chok,chock
pair	qop|	right	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.87673, ""stdev_axis1"": 0.352468, ""support"": 12}"	qopch,qopc
pair	ych|	left	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.692217, ""stdev_axis1"": 0.354695, ""support"": 12}"	yche,ych
pair	ykc|	right	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.674758, ""stdev_axis1"": 0.338973, ""support"": 12}"	ykch,ykc
pair	ckh|	left	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.51938, ""stdev_axis1"": 0.348716, ""support"": 12}"	ckh,ckhe
pair	qoe|	left	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.444916, ""stdev_axis1"": 0.423314, ""support"": 12}"	qoe,qoee
pair	dch|	left	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.443307, ""stdev_axis1"": 0.370776, ""support"": 12}"	dche,dch
pair	|h	right	12.00	Biological,Herbal,Pharmaceutical,Recipes,Unassigned	Astronomical	0.79	0.76	0.83	0.00	0.86	0.66	"{""mean_axis1"": 0.331904, ""stdev_axis1"": 0.212667, ""support"": 12}"	otsh,ytch,sch,lsh,otch,ykch,ckh,och
pair	|lsh	left	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.28831, ""stdev_axis1"": 0.397926, ""support"": 12}"	lsh,olsh
pair	kch|	left	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.271269, ""stdev_axis1"": 0.345436, ""support"": 12}"	kche,kch
pair	o|ee	left	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.833605, ""stdev_axis1"": 0.052066, ""support"": 6}"	oee,okee,otee
pair	c|he	left	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.811322, ""stdev_axis1"": 0.069854, ""support"": 6}"	che,cthe,ckhe
pair	chc|h	right	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.767991, ""stdev_axis1"": 0.36217, ""support"": 6}"	chcth
pair	shc|h	right	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.698561, ""stdev_axis1"": 0.444456, ""support"": 6}"	shcth
pair	chc|	right	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.605693, ""stdev_axis1"": 0.237696, ""support"": 6}"	chcth,chct
pair	shc|	right	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.570836, ""stdev_axis1"": 0.338122, ""support"": 6}"	shcth,shct
pair	c|ee	left	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.527365, ""stdev_axis1"": 0.173956, ""support"": 6}"	chee
pair	o|k	left	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.520066, ""stdev_axis1"": 0.362116, ""support"": 6}"	olk
pair	o|ke	left	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.48206, ""stdev_axis1"": 0.409379, ""support"": 6}"	olke
pair	c|oke	left	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.416449, ""stdev_axis1"": 0.444779, ""support"": 6}"	choke
pair	o|he	left	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.351853, ""stdev_axis1"": 0.39815, ""support"": 6}"	opche,otche,olche,olshe
pair	y|h	left	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.28785, ""stdev_axis1"": 0.416544, ""support"": 6}"	ytch,ykch,ysh,ych
pair	y|he	left	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.28785, ""stdev_axis1"": 0.416544, ""support"": 6}"	yche,ytche,yshe
pair	o|h	right	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.242946, ""stdev_axis1"": 0.405445, ""support"": 6}"	otsh,otch,och,opch,olch,okch,olsh
pair	k|h	right	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.125383, ""stdev_axis1"": 0.046279, ""support"": 6}"	ksh,kch
pair	dc|	right	6.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.097023, ""stdev_axis1"": 0.011471, ""support"": 6}"	dche,dch,dc
prefix	d	right	30.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned		0.88	0.95	0.88	0.88	0.95	0.95	"{""mean_axis1"": 0.147887, ""stdev_axis1"": 0.084879, ""support"": 30}"	daii,dal,dche,dar,do,dch,dc,dai
prefix	yk	left	24.00		Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned	0.00	0.00	0.00	0.00	0.00	0.00	"{""mean_axis1"": -0.169131, ""stdev_axis1"": 0.3216, ""support"": 24}"	yka,ykch,ykc,yke,ykee,yk
prefix	k	right	24.00	Biological,Herbal,Pharmaceutical,Recipes,Unassigned	Astronomical	0.71	0.57	0.86	0.00	0.71	0.57	"{""mean_axis1"": 0.10084, ""stdev_axis1"": 0.027133, ""support"": 24}"	kche,ko,kee,ksh,ks,kch,k
