family	sim_latin	sim_arabic	delta	label
he-tc-tch	0.06383	0.029534	0.034297	Latin-like
he-op-qop	0.039199	0.005605	0.033595	Latin-like
che-he-ke-ok-oke-qok	0.03448	0.001221	0.03326	Latin-like
chc-dc-dch-hc	0.061609	0.028375	0.033234	Latin-like
ct-pc	0.04202	0.008809	0.033211	Latin-like
che-ee-he-ke-lc-ok-oke	0.03268	9.7e-05	0.032583	Latin-like
che-ee-he-ke-lc-ok-oke-olc-qok	0.03268	9.7e-05	0.032583	Latin-like
che-he-lc-olc-op	0.03268	9.7e-05	0.032583	Latin-like
ee-he-lc	0.03268	9.7e-05	0.032583	Latin-like
ee-he-oe-pc	0.03268	9.7e-05	0.032583	Latin-like
ee-pc-yt	0.03268	9.7e-05	0.032583	Latin-like
ok-qok-yt	0.03268	9.7e-05	0.032583	Latin-like
che-he-oe	0.043968	0.012292	0.031677	Latin-like
dc-dch-ok	0.040446	0.008866	0.031581	Latin-like
ee-ke-oe	0.040746	0.009428	0.031317	Latin-like
he-yc	0.082165	0.050986	0.03118	Latin-like
lc-ok	0.046068	0.014989	0.031079	Latin-like
he-yt	0.041181	0.010806	0.030375	Latin-like
che-he-lc-ok	0.032934	0.002664	0.03027	Latin-like
che-hc-he-shc	0.048153	0.018686	0.029466	Latin-like
he-pc	0.036892	0.007963	0.028929	Latin-like
ct-hc	0.06278	0.034029	0.028751	Latin-like
ee-ls	0.055376	0.027948	0.027427	Latin-like
lc-ok-olc	0.037492	0.010872	0.02662	Latin-like
he-op	0.038001	0.011823	0.026177	Latin-like
yc	0.061787	0.035882	0.025905	Latin-like
ls-lsh-ok	0.034936	0.009986	0.02495	Latin-like
ct-otc-tc-tch	0.022851	2.3e-05	0.022828	Latin-like
ct-dc	0.050602	0.028076	0.022526	Latin-like
che-he-yt	0.032617	0.01135	0.021268	Latin-like
che-he-otc-tc-tch-yt-ytc	0.021255	0.0	0.021255	Latin-like
he-lc-olc-yc	0.021255	0.0	0.021255	Latin-like
dc	0.037951	0.018714	0.019237	Latin-like
che-ee-he-op-opc-pc-qop	0.020739	0.002235	0.018503	Latin-like
che-he-otc-pc-tc-tch	0.018322	2.3e-05	0.018299	Latin-like
ee-ke-oe-qoe-yk	0.018322	2.3e-05	0.018299	Latin-like
lc-ok-olc-qok	0.018322	2.3e-05	0.018299	Latin-like
ct-hc-hct-he-shc	0.027937	0.009711	0.018227	Latin-like
che-ee-he-tc-tch	0.030243	0.012023	0.01822	Latin-like
he-ke-ok-oke	0.022942	0.005061	0.017881	Latin-like
che-ee-he-op	0.016726	0.0	0.016726	Latin-like
che-ee-he-ke-ok-oke	0.016802	0.00151	0.015292	Latin-like
che-ee-he-otc-tc-tch	0.01711	0.002656	0.014454	Latin-like
he-yk	0.027959	0.014496	0.013462	Latin-like
che-ee-he-ok	0.016591	0.004205	0.012386	Latin-like
che-ee-he-op-opc-pc	0.014966	0.003104	0.011862	Latin-like
ke-oe	0.023587	0.011977	0.01161	Latin-like
chc-ct-hc-hct-he	0.014996	0.003734	0.011261	Latin-like
che-ee-he-pc	0.013833	0.003472	0.010361	Latin-like
ee-he-ke	0.013348	0.003383	0.009964	Latin-like
che-he-ke-ok-oke	0.011689	0.001986	0.009703	Latin-like
hc-he-shc	0.013721	0.004148	0.009573	Latin-like
he-ok-qok	0.011753	0.002329	0.009424	Latin-like
che-ee-he-lc-olc	0.011163	0.00191	0.009253	Latin-like
he-ke	0.013377	0.004921	0.008457	Latin-like
che-dc-dch-ee-he	0.012487	0.004342	0.008146	Latin-like
ct-ee-he	0.014472	0.006432	0.00804	Latin-like
che-ee-he-ke	0.008942	0.002368	0.006574	Latin-like
che-he-yk-ykc	0.009857	0.003374	0.006483	Latin-like
he-ok	0.009668	0.003952	0.005715	Latin-like
oe-qoe	0.011465	0.0059	0.005565	Latin-like
che-ee-he-lc	0.010027	0.004516	0.005511	Latin-like
che-he-tc-tch-yt-ytc	0.009441	0.003966	0.005475	Latin-like
ee-he-ls-lsh	0.007494	0.002303	0.005191	Latin-like
che-he-ke	0.007215	0.002257	0.004958	Latin-like
op-opc-pc-qop	0.005537	0.001954	0.003583	Latin-like
che-ct-he	0.004861	0.001305	0.003556	Latin-like
che-ee-he-yc-ych	0.006216	0.002664	0.003553	Latin-like
chc-hc-he	0.004346	0.001316	0.00303	Latin-like
ct-hc-hct-shc	0.007172	0.004147	0.003025	Latin-like
che-he-op-opc-pc-qop	0.003605	0.000591	0.003015	Latin-like
oe	0.006188	0.003187	0.003001	Latin-like
lc-olc	0.004913	0.001957	0.002955	Latin-like
op-qop	0.007629	0.0052	0.002429	Latin-like
yc-ych	0.006524	0.004135	0.002389	Latin-like
che-he-ok-qok	0.00306	0.000756	0.002304	Latin-like
tc-tch-yt-ytc	0.004696	0.002682	0.002015	Latin-like
che-he-yc-ych	0.004287	0.002332	0.001955	Latin-like
ls-lsh	0.004162	0.002228	0.001934	Latin-like
ls	0.004493	0.002582	0.001911	Latin-like
ee-oe-qoe	0.004028	0.002162	0.001867	Latin-like
che-he-ok	0.002645	0.000896	0.001749	Latin-like
yk-ykc	0.004338	0.002647	0.001692	Latin-like
ee-oe	0.003261	0.001666	0.001595	Latin-like
op-opc-pc	0.003185	0.001601	0.001584	Latin-like
